"","x","y"
"1",-0.685725679155439,-80
"2",-0.879897771636024,-80
"3",1.41193195420783,80
"4",1.68895374715794,160
"5",-0.573237657663412,-80
"6",-0.316174317267723,0
"7",0.0451604692498222,0
"8",-1.16158136539161,-80
"9",0.686579237924889,80
"10",-0.871304703410715,-80
"11",1.90760009665973,160
"12",-1.41928331193049,-80
"13",-1.22679408523254,-80
"14",0.346035659313202,0
"15",-1.05197505478282,-80
"16",-0.169525732519105,0
"17",-1.29330365662463,-80
"18",-0.830500044045039,-80
"19",-0.927172605530359,-80
"20",0.804291362524964,80
"21",0.088237457559444,0
"22",-1.26149177667685,-80
"23",-0.821271680644713,-80
"24",-0.121784668182954,0
"25",-0.714923297520727,-80
"26",1.90915595018305,160
"27",1.72473552112933,160
"28",1.26538040861487,80
"29",-0.171905691968277,0
"30",1.05540326982737,80
"31",0.467611002502963,0
"32",0.740723859751597,80
"33",0.776471826480702,80
"34",-0.638109247549437,-80
"35",-1.31055708730128,-80
"36",-1.25873333681375,-80
"37",-1.49175432673655,-80
"38",-0.513372954097576,-80
"39",1.1994074707618,80
"40",0.303240296430886,0
"41",-1.34708089707419,-80
"42",0.263166099553928,0
"43",1.03694696188904,80
"44",-0.561988889006898,-80
"45",0.555229743127711,80
"46",-1.06184606708121,-80
"47",0.331030365428887,0
"48",-1.15028701734263,-80
"49",0.0593855098122731,0
"50",-1.37071128992829,-80
"51",1.71466776984744,160
"52",-0.807066239416599,-80
"53",-0.122760515543632,0
"54",-0.556055504479446,-80
"55",0.811954014468938,80
"56",-0.630128460703418,-80
"57",0.120443643420003,0
"58",1.38204312662128,80
"59",1.02627407596447,80
"60",0.764378558844328,80
"61",-0.231448617181741,0
"62",-0.953655341640115,-80
"63",-0.626954576233402,-80
"64",1.8494805120863,160
"65",1.80144459963776,160
"66",-0.768543708254583,-80
"67",1.11795584962238,80
"68",-0.973624494741671,-80
"69",-1.19159778626636,-80
"70",0.563659050851129,80
"71",-0.98249909223523,-80
"72",1.17310630984139,80
"73",0.347222856944427,0
"74",-0.137073333840817,0
"75",-0.767774146515876,-80
"76",1.47361162083689,80
"77",-0.136701191775501,0
"78",-0.0999224284896627,0
"79",1.58624549931847,160
"80",-0.328602593275718,0
"81",-0.337909459951334,0
"82",1.91568919282872,160
"83",-0.108911527786404,0
"84",0.13429699500557,0
"85",0.506244190735742,80
"86",0.54207506775856,80
"87",-1.2189238112187,-80
"88",-0.373712550266646,0
"89",-0.585988186299801,-80
"90",-0.28267112665344,0
"91",0.824125531129539,80
"92",-0.660907407407649,-80
"93",-0.365209267707542,0
"94",0.697034177719615,80
"95",-0.402250501210801,0
"96",1.32182812539395,80
"97",-0.726321302587166,-80
"98",-1.35601796861738,-80
"99",-0.965668127406389,-80
"100",-0.721111082239076,-80
"101",0.46763689618092,0
"102",-0.649658055277541,-80
"103",0.50411804637406,80
"104",-0.645309213898145,-80
"105",0.759551488328725,80
"106",-0.762062557740137,-80
"107",1.3406993849203,80
"108",0.776653395150788,80
"109",-0.356928199762478,0
"110",0.967278652708046,80
"111",-1.41101995110512,-80
"112",0.00596503657288849,0
"113",0.992866433225572,80
"114",1.3506754982518,80
"115",0.459687336580828,0
"116",0.155792594072409,0
"117",-0.1274183151545,0
"118",0.0899380524642766,0
"119",1.44932186696678,80
"120",0.530194054124877,80
"121",-1.20767177070957,-80
"122",1.82989777904004,160
"123",0.58720085513778,80
"124",-1.46465603413526,-80
"125",0.846160790300928,80
"126",-1.31432170781773,-80
"127",1.71563525300007,160
"128",-0.611800154321827,-80
"129",1.97535632050131,160
"130",1.19341825204901,80
"131",1.68049374513794,160
"132",0.151657899725251,0
"133",0.297033680020832,0
"134",0.0117349213687703,0
"135",1.01759688893799,80
"136",-0.329594214796089,0
"137",1.86422706069425,160
"138",0.685440195607953,80
"139",-0.452571673551574,0
"140",1.49135013564955,80
"141",-0.135154168587178,0
"142",-0.0483539436245337,0
"143",-1.15050098591018,-80
"144",0.678777531022206,80
